Company Name,Company ID,Company Domain,SDR/BDR Headcount,Salesforce,HubSpot,Pipedrive,Zoho CRM,CRM Signals
Rubicon,98271600,www.rubicon.com,4,Yes,,,,Salesforce
Quantum,61506294,www.quantum.com,3,Yes,,,,Salesforce
Valve Corporation,40599726,www.valvesoftware.com,0,Yes,,,,Salesforce
A10,37847,www.a10networks.com,1,Yes,,,,Salesforce
Bitly,352356162,www.bitly.com,4,Yes,,,,Salesforce
Impinj,34425663,www.impinj.com,0,Yes,,,,Salesforce
Amperity,397693736,www.amperity.com,1,Yes,,,,Salesforce
Shipley Energy,102580917,www.shipleyenergy.com,0,Yes,,,,Salesforce
BCM One,24200040,www.bcmone.com,8,Yes,,,,Salesforce
EverQuote,370828174,www.everquote.com,10,Yes,,,,Salesforce
ZACKS,255918290,www.zacks.com,7,Yes,,,,Salesforce
Cloudinary,355914619,www.cloudinary.com,0,Yes,,,,Salesforce
HCSS,129467523,www.hcss.com,13,Yes,,,,Salesforce
Tufin,147701774,www.tufin.com,4,Yes,,,,Salesforce
eGain,37309326,www.egain.com,3,Yes,,,,Salesforce
Reltio,346930630,www.reltio.com,7,Yes,,,,Salesforce
Evolv,357932380,www.evolvtechnology.com,2,Yes,,,,Salesforce
Boingo,9176985,www.boingo.com,0,Yes,,,,Salesforce
Exegy,47859617,www.exegy.com,0,Yes,,,,Salesforce
Timely by DrFirst,11829775,www.drfirst.com,4,Yes,,,,Salesforce
Everlaw,354977229,www.everlaw.com,13,Yes,,,,Salesforce
Single Digits,96553191,www.singledigits.com,0,Yes,,,,Salesforce
Weka,425699272,www.weka.io,2,Yes,,Yes,,Salesforce; Pipedrive
Matterport,355859718,www.matterport.com,7,Yes,,,,Salesforce
CheckAlt,345564255,www.checkalt.com,0,Yes,Yes,,,Salesforce; HubSpot
Iteris,59901406,www.iteris.com,0,Yes,,,,Salesforce
Innovid,354283951,www.innovid.com,0,Yes,,,,Salesforce
Lantronix,100451205,www.lantronix.com,0,Yes,,,,Salesforce
Everstream,13534186,www.everstream.net,0,Yes,,,,Salesforce
Stem,157483243,www.stem.com,1,Yes,,,,Salesforce
Real,367519333,www.onereal.com,0,Yes,,,,Salesforce
Veritone,368644313,www.veritone.com,1,Yes,,,,Salesforce
Doxim,70405185,www.doxim.com,7,Yes,,,,Salesforce
Tintri,348653556,www.tintri.com,0,Yes,,,,Salesforce
Unqork,404783237,www.unqork.com,0,Yes,Yes,,,Salesforce; HubSpot
PeopleFluent,346952650,www.peoplefluent.com,0,Yes,,,,Salesforce
Paya,348418688,www.paya.com,0,Yes,,,,Salesforce
